,Header,DataType,NumberRecords,NumberNull,NullPercent,Uniques,Mode,ModeCount,ModePercent,MinValue,Median,MaxValue,Mean,StDev
0,loan_status,object,254189,0,0.0,3,Fully Paid,207722,0.817195079252,,,,,
1,id,object,254189,0,0.0,254189,4297176.0,1,3.93408054637e-06,,6321783.0,,,
2,loan_amnt,float64,254189,0,0.0,1326,10000.0,18131,0.0713288143861,500.0,12000.0,35000.0,13570.628548048893,8133.380714865785
3,term,object,254189,0,0.0,2, 36 months,197372,0.776477345597,,,,,
4,int_rate,float64,254189,0,0.0,513,12.119999999999999,7510,0.0295449449032,5.32,13.53,28.99,13.775996364940234,4.40408777867572
5,installment,float64,254189,0,0.0,45634,332.72000000000003,675,0.0026555043688,15.69,365.23,1424.57,418.2742697756437,244.91249691128104
6,grade,object,254189,0,0.0,7,B,76263,0.300024784707,,,,,
7,emp_length,object,254189,0,0.0,12,10+ years,77256,0.30393132669,,,,,
8,home_ownership,object,254189,0,0.0,6,MORTGAGE,125342,0.493105523842,,,,,
9,annual_inc,float64,254189,0,0.0,19546,60000.0,9807,0.0385815279182,3000.0,62000.0,8706582.0,72510.75845331607,58785.4307068597
10,verification_status,object,254189,0,0.0,3,Verified,93375,0.367344771017,,,,,
11,issue_d,object,254189,0,0.0,103,Oct-14,8808,0.0346513814524,,,,,
12,purpose,object,254189,0,0.0,14,debt_consolidation,149153,0.586779915732,,,,,
13,addr_state,object,254189,0,0.0,51,CA,43321,0.170428303349,,,,,
14,dti,float64,254189,0,0.0,3978,0.0,290,0.00114088335845,0.0,16.22,39.99,16.560374288423436,7.793989849183277
15,delinq_2yrs,float64,254189,0,0.0,22,0.0,213209,0.83878137921,0.0,0.0,29.0,0.25053405143416907,0.7423908623474629
16,earliest_cr_line,object,254189,0,0.0,645,Oct-00,2119,0.00833631667775,,,,,
17,inq_last_6mths,float64,254189,0,0.0,9,0.0,124360,0.489242256746,0.0,1.0,8.0,0.8525034521556795,1.0670881494157654
18,mths_since_last_delinq,float64,254189,141445,0.556456022881,128,12.0,2065,0.00812387632824,0.0,32.0,152.0,35.170102178386436,21.8044955255299
19,mths_since_last_record,float64,254189,222375,0.874841161498,124,0.0,673,0.0026476362077,0.0,78.0,129.0,75.72009178349154,29.618779038148855
20,open_acc,float64,254189,0,0.0,59,9.0,24425,0.096089917345,0.0,10.0,76.0,10.944242276416368,4.893245103951676
21,pub_rec,float64,254189,0,0.0,14,0.0,223045,0.877476995464,0.0,0.0,15.0,0.143794578050191,0.43692408518419834
22,revol_bal,float64,254189,0,0.0,47380,0.0,1773,0.00697512480871,0.0,10938.0,1746716.0,15170.316850847204,18746.763327876022
23,revol_util,float64,254189,200,0.000786816109273,1200,0.0,1807,0.00710888354728,0.0,55.8,892.3,54.330535771235056,24.785087264742582
24,total_acc,float64,254189,0,0.0,105,20.0,9266,0.0364531903426,2.0,23.0,150.0,25.037358028868283,11.749409117096326
25,tot_coll_amt,float64,254189,63726,0.250703216898,4045,0.0,168588,0.663238771151,0.0,0.0,9152545.0,203.38360731480654,21035.55286087064
26,tot_cur_bal,float64,254189,63726,0.250703216898,135308,0.0,50,0.000196704027318,0.0,80761.0,8000078.0,138161.0270813754,152328.57043425806
